item_id,host_id,user_id,review_id,title,username,translated_review
EX01,HO67,US01,RV01,A'moss,Jee Onn Mah,"3 2 25 that day I celebrated my 1 year wedding anniversary, a beautiful room in a very quiet place. Today I was moved to review because I forgot to review from that day. hahaha, going to this place is a bit difficult but when you get there you will be satisfied"
EX01,HO67,US02,RV02,A'moss,JC,"A fantastic place to go when you want to get away from the bustling city life. Amoss let s you have that peaceful experience where you re out amongst the land, feeling free from emails and phone calls and Neverending work. The staff is"
EX01,HO67,US03,RV03,A'moss,Elli LIH,A great place for glamping lovers. The accommodation design is unique and simple. Suitable for those who like fresh nature. The room and bathroom are clean and comfortable. Those who want something different are encouraged to try this best
EX01,HO67,US04,RV04,A'moss,Zulhairi Aizad,"A very calming, cold, and clean place spotless with not even a single ant around. The staff were friendly and helpful, and while the food was just okay, the overall atmosphere was relaxing. The road to get there was okay, no issues."
EX01,HO67,US05,RV05,A'moss,Nurulilham Shabudin,"Absolutely mesmerising view! I ve already been here twice and can t wait to come back again. The scenery is breathtaking, and the whole experience was just perfect from the service and the dome to the overall management. It s incredibly"
EX01,HO67,US06,RV06,A'moss,Sue Anne Tan,"Amazing place!!! The air was fresh and cool, the scenery was great!! The owner was friendly and helpful, and there was a swing and nice farm. It was beautiful and charming. Also please note that there are some steep mountain roads before"
EX01,HO67,US07,RV07,A'moss,Muaz Yunos,"Amazing Stay at A moss Farmstay Even Better the Second Time!This is my second time staying at Amoss Farm Stay, and I must say they have"
EX01,HO67,US08,RV08,A'moss,Farhana Nana,"A moss farmstay is a true gem amidst the tourist hustle and bustle of the Cameron Highlands.If you re looking for peace and quiet, in the middle of a real farm, surrounded"
EX01,HO67,US09,RV09,A'moss,Nur Suhaira,"An Unforgettable Escape Homely, Breathtaking, and Truly Restful. Our stay at Amoss Farmstay Diamond Dome 1 was made absolutely perfect, and we have to give a special shout out to Hassan. He was an incredible host who took"
EX01,HO67,US10,RV10,A'moss,Shushi Sean,"Bad experience I been in here on the day we checkin the owner call and we really shock that he with the hard voice from the phone yelling and very rude, for 1st time that we have been stay a lot of places before never been get rude owner..."
EX01,HO67,US11,RV11,A'moss,Manish Patel,beautiful place in nature. the domes have all the comforts. For cooking there are the necessary tools. the domes have private bathrooms and beds are comfortable. really peaceful. very functional management. view of the valley and the
EX01,HO67,US12,RV12,A'moss,hi there,CATS!! Saw two of them during our stay fed them whenver they visited and took some pics There was a blackout during the third day of our stay for about an hour which
EX01,HO67,US13,RV13,A'moss,Manpreet Kaur (MK KHALSA),Driving experience is not for the weak. The room is pretty and super cold at dawn till sunset. Service is okay2 as long as you are patient. Location is high up next to BOH with cool sunrise view if you are to stand in a humid 13 weather
EX01,HO67,US14,RV14,A'moss,Coffee,"During my one night stay in this place, I had the pleasure of enjoying the beautiful and natural scenery views. The temperature breeze was delightfully cool, creating a soothing atmosphere."
EX01,HO67,US15,RV15,A'moss,ZHI DAN,Everything was perfect until the black out. Black out more than 1 hour went to ask and the staff wasn t even helpful at all and blamed it on my telephone service that doesn t reach his phone. Absolutely absurd.
EX01,HO67,US16,RV16,A'moss,sarvaessh waran,Fantastic experience! The site was cozy and chill. Had everything I needed for a relaxing getaway. Love the peaceful atmosphere surrounded by beautiful nature. Host staff were friendly and very helpful. Definitely a unique and unforgettable stay!
EX01,HO67,US17,RV17,A'moss,Xy Leong,"For who that love nature. Really recommended, we choose dome 2 for our Last day honeymoon stay, really satisfied, from the view , the place, the service, we sure will come again for glasses dome, if you don t bring any food for dinner,"
EX01,HO67,US18,RV18,A'moss,Steph Lee,"Getting up here was a wild ride literally! Twisty, narrow mountain roads had us gripping our seats and grinning from ear to ear. My teen called it a rollercoaster ride with IG worthy views."
EX01,HO67,US19,RV19,A'moss,Take 5 Asia,"Glad i found this hidden gemThe rooms were clean, cozy, and had a charming rustic feel. Loved the little details like the outdoor seating spots and the farm added to the whole experience. The hosts were incredibly hospitable and made sure we were comfortable throughout our stay.Highly recommend this farmstay if you re looking to unwind, slow down, and enjoy the simple joys of nature. Can t wait to come back!I TRULY CANT WAIT FOR MY NEXT STAY"
EX01,HO67,US20,RV20,A'moss,Bernice Laurie,"Good design of the dorms, get ready for the amount of flies due to its location is in the farm, really alot even inside room and toilets they are everywhere.Kitchen with almost zero equipment so we have to prepare ourself, no charcoal bbq is allow.Staffs cant communicate well in english and it may take times for owner to reply if you hv enquiry."
EX01,HO67,US21,RV21,A'moss,raja mohar,Great atmosphere awesome place.Most importantly their service staff is very professional and customer oriented.
EX01,HO67,US22,RV22,A'moss,Arputha Raj,Great relaxing stay. Highly recommend for calm environment and a million dollar view from dome. I would definitely come again. Amazing experience.
EX01,HO67,US23,RV23,A'moss,Asyraf Haikal,"Great view and, of course, cold. The room could be better. Toilet quite dirty when we came but after told the worker, they come and clean it. Not what i expected, but the view makes up the cons of the place. Do note to follow google Maps to go to the place, or you might get lost."
EX01,HO67,US24,RV24,A'moss,NUR AFIFAH,Had one of the best time here. It is very peaceful. The place has lots of thatt uhmm small flies but its bareable. The staff and the owner was so helpful. U do need to bring all foods and drinks on your own though like 3in1 and food cause
EX01,HO67,US25,RV25,A'moss,Mooi weng hou,Have a lovely stayed last week. You can really relax and enjoy the view. Only cons is the drive up to the Darmstadt that mayb challenging especially if it is the peak period. Another spoiler is that the sun rise and sun set view is blocked
EX01,HO67,US26,RV26,A'moss,Scott Tian,"Have a lovely stayed on 3 1 on my birthday .. The moment we arrived until we check out , the service is really exceptional and top notch . The surroundings are simply breathtaking .. Atmosphere was cooling and peaceful. The view of the"
EX01,HO67,US27,RV27,A'moss,Fadzli Sohi,Honestly I m giving this 2 star just because of the view. The reasons are 1. The steamboat is a scam. This is my first time I got extra charged just because I ordered 2 drinks and additional ingredients. The worker did not even inform
EX01,HO67,US28,RV28,A'moss,faz standalone,"I stayed one night at one of the mirror glass domes it s really nicely decorated and super cosy, loved the vibe."
EX01,HO67,US29,RV29,A'moss,Isaac Song,I went there but there were no rooms available. I thank Mr. Hamdi for his kind reception and kind words. The place is very wonderful and the best thing about the place is the road leading to it. Its a wonderful adventure.you really feel the adventure.
EX01,HO67,US30,RV30,A'moss,nami ka,"I would give it 4.7 stars if I could. Before booking, I read older Google reviews and was a bit nervous to see conflicting comments."
EX01,HO67,US31,RV31,A'moss,m sfn,"I would love to visit again,But it s a lil hard to get in cuz it s one way as u go deeper inside"
EX01,HO67,US32,RV32,A'moss,Alfie Solomons,I ve finally made my way to this elusive glampsite after reading bout it a few years ago!It kind of ticked all the boxes for what I wanted to experience a location I
EX01,HO67,US33,RV33,A'moss,Ili Aqilah Yus Amirul,If you are thinking of escape this is the best place I would recommend.1 Road it s really scary road to drive. Ensure you are prepared yourself to
EX01,HO67,US34,RV34,A'moss,Atiq Safian,"If you re looking for a peaceful escape to relax and recharge, this place is perfect. Surrounded by nature, it s calm, quiet, and truly refreshing."
EX01,HO67,US35,RV35,A'moss,syahirahz2023,"It was a great experience to stay here. the location, bed, bathroom, just perfect. they give very comfy bed and blanket. have curtain and a spacious private space as well. and also one of the staff is really helpful and friendly. i definitely will come back again."
EX01,HO67,US36,RV36,A'moss,Sunshine12591939449,It was a whole new experience. If you are looking forward to go on a vacation free from a hectic city life than you should consider this place. If you are a nature person for sure you will fall in love with this place.
EX01,HO67,US37,RV37,A'moss,A. C.,"It was a wonderful getaway. The weather was on our side as it didn t rain except for a light drizzle while we went for the farm tour. A memorable stay, very accommodating management and staff on duty, Amin."
EX01,HO67,US38,RV38,A'moss,Shahirah Samsudin,"It was my 4th visit here, I have try all of their room type except the latest piramid, sold out due to last minute booking. Not really happy for this stay, RM70 steamboat for 2pax all were fishball. As their website were hang when we are making the same day booking and processing payment, contact owner to ask the availability and he offer RM50 cheaper from the website but the payment has been deducted by the time the website finish loading. Ask owner if he could still give us the rate RM250 he turned us down. As a customer, it would be happy if he complimentary your customer a dinner or whatsoever. U make your loyalty customer sad"
EX01,HO67,US39,RV39,A'moss,Ooi Rai Ney,It s a nice get away from the city. It s worth to stay but there is a few tips to take note
EX01,HO67,US40,RV40,A'moss,J J,"It s unfortunate that it was raining season. I stayed at Crystal dome. The door of the crystal must remains closed or the rain will flood the dome. As the center top of the dome is made of glass, it gets warm on the day and stuffy when it"
EX01,HO67,US41,RV41,A'moss,Thivagar A.Murugan,It s very calming and peacefull places to visit! It s full of flower and herbs. It s really nice view to visit like in paradise! The facilities like toilet is also near the dome. Highly recommend! I definitely gives 5 stars!
EX01,HO67,US42,RV42,A'moss,Michael Hollstein,"I ve stayed here for the third times now. It s cozy, and I would totally recommend it for a family stay."
EX01,HO67,US43,RV43,A'moss,Wilson Hua,The road to enter is close to Sg Palas Teh Boh. The road to Amoss is quite challenging. But when it arrived. Very nice view. Satisfied.
EX01,HO67,US44,RV44,A'moss,Shaffiee Abdullah,"me and my husband come on 01 03 25 for our anniversary stay.. i should say.. woww.. what an experience! the place,view,weather,the service they provide.. top notch.. the night was so cold, its about 14 c.. freeze the stars at midnight.."
EX01,HO67,US45,RV45,A'moss,sharon tan,One of the few bang for buck glamping spots available at Cameron Highlands! It s definitely worth the stay for the price.
EX01,HO67,US46,RV46,A'moss,Boon Ho Chew,Overall experience here is very chill and very me time.. suitable for couples and solo traveller. This place is very windy and cooling and extremely quiet when come to midnight due to farm area and quite far distance from main road. A very
EX01,HO67,US47,RV47,A'moss,Sivaneshwary Ramachandran,"An interesting experience for you to try. For anyone who likes the beauty of nature, this is the place to go. It's just lacking in terms of service, only soap is provided, toothpaste, brush, shampoo you have to bring your own. Even mineral water is not available in the pantry"
EX01,HO67,US48,RV48,A'moss,Hidayah Ramli,"Rather remote, good if you want to avoid crowd. Rate 1 star as there was no proper signage, and you need to drive through a single lane to get in out.Good for glamping, BYOF"
EX01,HO67,US49,RV49,A'moss,NR,"Room Neat and tidy, comfortable, super cold. Anyway the best part is the view"
EX01,HO67,US50,RV50,A'moss,Alan C.S. Tan,Room very good...comfy and good vibes.The road to the place little narrow and parking was trouble... however the staff there provide good help and guide wellFood wise can improve little...mayb should try steamboat ...fried dishes was okey
EX01,HO67,US51,RV51,A'moss,Nurul Hafifah,Stay here on last night 16 6 25Not to hard to find the location just easy.But There are a lot of flies outside. cannot open the door flies will enter the
EX01,HO67,US52,RV52,A'moss,Lohges Wari,"Stayed at campair tailer. Satisfied 10 10. The room was clean and neat. Got Aircon recommendations. Steamboat dinner was excellent. Activities are super fun like hiking , harvesting and sunrise. The staff was so friendly and kind especially"
EX01,HO67,US53,RV53,A'moss,Saranya Rajan,Stayed here 3D2NThe rooms are clean and very well design
EX01,HO67,US54,RV54,A'moss,meor shaharuddin,"Stayed in the glass house. The view and location is great, cold. But they re lot of flies. And the glass is not properly maintained. The glass is not cleaned properly. Steamboat is not recommended. They provided an aircond in the glass"
EX01,HO67,US55,RV55,A'moss,Sara Nawayai,"Such a beautiful bed and breakfast in really tranquil surroundings.The lady that runs it was so helpful, friendly and welcoming. I felt totally relaxed after being here and would most definitely want to return."
EX01,HO67,US56,RV56,A'moss,Maulidatul ummuh Ida,"The place is really the best, thank God, I'm satisfied and the service is really ready to pick up goods, drink orders are ready to be delivered to the door. God willing, there will be more good fortune coming here again, don't want to look for another place. The place is really great, thank God I'm satisfied and the service is really good ready to pick up the goods, order a drink and have it delivered to your door. Inshaallah I will have more luck and come here again, I don't want to look for another place anymore"
EX01,HO67,US57,RV57,A'moss,ng yao,"The amenities are insufficient,not working, and old, cannot even fulfill basic, no detergent provided, had to keep request. Water filter spoil. No proper cover at open air lodging to pull out if rain. Platform unstable, causes our cutlery"
EX01,HO67,US58,RV58,A'moss,Shobana Nair,"The best view in Cameron!Definitely one of the hidden gems in Cameron, the view was great!"
EX01,HO67,US59,RV59,A'moss,Jivina Mohhan,"The diamond dome is so spacious for 4 people to stay, it just cannot cook. The room on the top is so glam, love it so much.The crystal dome is lovely. Small but cozy."
EX01,HO67,US60,RV60,A'moss,Ts. Hazman Haziq Sulaiman,"The farm is remote from the hustle and bustle of metropolitan life. The view is breathtaking. The crystal dome s design is one of a kind and extremely comfy. It is ideal for couples looking for a romantic getaway for a brief holiday. Overall, a wonderful location, a nice view, and a reasonable price."
EX01,HO67,US61,RV61,A'moss,Adnan Alghamdi,"The glass dome, bedsheets were badly stained, windows were dirty. Service was alright. Location a bit inconvenience however the scenery was beautiful. The switch to the curtains and the beds can be improved. Water heater is also not very strong. It is not warm enough for Cameron weather. If the above are met, then it is value for money. Otherwise it is quite expensive.The reply from property that it was not there when we check in hence it was suggested that the stained was from the guests. What a way to reply!!"
EX01,HO67,US62,RV62,A'moss,Sharmaty Kesavan,"The good stuff The place, the food and their hospitality. The view was amazing. Day and night.We tried their nasi lemak, western breakfast, teh tarik, and scones. Which were"
EX01,HO67,US63,RV63,A'moss,fabulous me,"The location is simply amazing. This is such a tranquil setting away from the bustling city life. Very clean air, and you can feel a healthy life from dawn to dusk. So tranquil that you can feel the cold breeze. Highly recommended"
EX01,HO67,US64,RV64,A'moss,Qian Tua,"The overall place could have been fantastic but it really missed the mark. Even before we got to the destination, Amoss is in a very beaten off path and ideally they should have connections to provide pick off and drop off services. We"
EX01,HO67,US65,RV65,A'moss,Chernervin Citbanchong,The place is cold but the room is warm so it is comfortable.It has a great view and their staff is very friendly and helpful.The was also nice.
EX01,HO67,US66,RV66,A'moss,arie Last,The place is nice but from my first impression when we arrived at the place we were told that we are not allowed to enter even just to survey before planing to stay and i think i wont stay there due to the answer that i got the staff
EX01,HO67,US67,RV67,A'moss,Piraveena Sukumaran,The place is quite nice and very Instagramable. The decoration are modern and it s comfortably quite. It s really feels like back to nature life. The bed sheets are fine but the blanket feels like it hasn t been washed.
EX01,HO67,US68,RV68,A'moss,Norhaslin Noh,The road leading there is too narrow and one way. Hope more safety features could be added for those driving in.
EX01,HO67,US69,RV69,A'moss,malar 27,"The stay was great, view was amazing, and the unit was very comfortable.The StaffUbjolHassanAminourWere very helpful, respectful and accomodating."
EX01,HO67,US70,RV70,A'moss,Someone,"The view was absolutely stunning and surrounded by lush greenery and misty mountains, it s the perfect place to enjoy the cool weather and take in the natural beauty of the Boh tea plantation. One of the highlights was the chance to enjoy a"
